"date","rr","gp","p","ts","w","r"
"457","2021-05-16",-15,7,164,-45,-13,4
"458","2021-05-17",-20,5,96,-54,-36,12
"459","2021-05-18",-21,7,99,-54,-36,12
"460","2021-05-19",-20,8,95,-55,-37,13
"461","2021-05-20",-17,13,95,-54,-35,12
"462","2021-05-21",-21,11,110,-54,-37,12
"463","2021-05-22",-23,8,127,-48,-15,6
"464","2021-05-23",-15,7,163,-50,-16,4
"465","2021-05-24",-30,-12,193,-67,-76,19
"466","2021-05-25",-21,12,79,-55,-35,12
"467","2021-05-26",-21,8,66,-55,-35,13
"468","2021-05-27",-18,11,83,-54,-34,12
"469","2021-05-28",-22,7,59,-54,-31,12
"470","2021-05-29",-18,11,142,-44,-8,5
"471","2021-05-30",-13,8,160,-47,-9,3
"472","2021-05-31",-14,10,110,-53,-33,10
"473","2021-06-01",-14,16,127,-52,-33,10
"474","2021-06-02",-14,13,127,-51,-33,10
"475","2021-06-03",-15,13,91,-53,-32,12
"476","2021-06-04",-18,12,117,-51,-31,10
"477","2021-06-05",-18,10,135,-45,-9,5
"478","2021-06-06",-13,8,166,-45,-9,2
"479","2021-06-07",-16,9,108,-54,-33,10
"480","2021-06-08",-17,15,98,-54,-32,11
"481","2021-06-09",-16,11,109,-53,-33,11
"482","2021-06-10",-13,14,117,-51,-31,10
"483","2021-06-11",-12,13,107,-50,-30,9
"484","2021-06-12",-11,11,176,-40,-7,2
"485","2021-06-13",-6,8,163,-43,-8,1
"486","2021-06-14",-11,8,75,-53,-33,10
"487","2021-06-15",-9,17,102,-52,-31,10
"488","2021-06-16",-9,12,117,-50,-32,9
"489","2021-06-17",-7,15,139,-49,-32,9
"490","2021-06-18",-12,15,94,-50,-31,9
"491","2021-06-19",-9,15,147,-40,-8,2
"492","2021-06-20",-1,11,200,-39,-8,-2
"493","2021-06-21",-9,9,107,-53,-35,9
"494","2021-06-22",-7,17,121,-52,-33,9
"495","2021-06-23",-4,19,138,-49,-34,8
"496","2021-06-24",-12,4,182,-51,-45,10
"497","2021-06-25",-12,12,112,-50,-36,9
"498","2021-06-26",-13,9,109,-45,-9,3
"499","2021-06-27",-3,9,170,-40,-8,0
"500","2021-06-28",-2,14,135,-52,-38,6
"501","2021-06-29",-7,13,113,-54,-39,8
"502","2021-06-30",8,34,129,-46,-38,6
"503","2021-07-01",-20,-3,269,-56,-69,14
"504","2021-07-02",-7,20,137,-52,-53,12
"505","2021-07-03",-10,9,186,-37,-12,1
"506","2021-07-04",-1,7,193,-33,-9,-2
"507","2021-07-05",-1,16,154,-48,-39,8
"508","2021-07-06",-4,17,139,-50,-37,9
"509","2021-07-07",-5,15,120,-49,-38,9
"510","2021-07-08",-6,13,94,-50,-38,10
"511","2021-07-09",-9,12,127,-46,-36,8
"512","2021-07-10",-7,11,198,-32,-7,0
"513","2021-07-11",-3,7,167,-35,-7,-1
"514","2021-07-12",-2,14,165,-48,-39,8
"515","2021-07-13",-4,15,132,-49,-38,9
"516","2021-07-14",-2,15,149,-47,-37,8
"517","2021-07-15",-1,16,149,-47,-37,8
"518","2021-07-16",-6,12,137,-45,-36,7
"519","2021-07-17",-6,10,156,-33,-7,1
"520","2021-07-18",2,8,198,-30,-6,-2
"521","2021-07-19",0,14,164,-48,-41,8
"522","2021-07-20",0,17,137,-49,-40,9
"523","2021-07-21",1,17,158,-46,-39,8
"524","2021-07-22",1,17,172,-46,-38,8
"525","2021-07-23",-6,11,165,-44,-38,7
"526","2021-07-24",-7,8,170,-33,-6,0
"527","2021-07-25",3,8,196,-31,-5,-2
"528","2021-07-26",0,14,177,-47,-41,8
"529","2021-07-27",-1,15,153,-49,-40,9
"530","2021-07-28",2,17,185,-45,-40,7
"531","2021-07-29",1,17,139,-47,-40,9
"532","2021-07-30",-3,15,148,-43,-40,7
"533","2021-07-31",-5,9,179,-29,-8,-1
"534","2021-08-01",5,10,179,-31,-8,-1
"535","2021-08-02",-3,5,245,-52,-66,11
"536","2021-08-03",1,20,180,-46,-39,7
