date,reported,revised,mobility
2021-09-23,4605.0,4606,3.089208633093525
2021-09-24,,4573,2.7032121212121214
2021-09-25,,1017,9.922549019607844
2021-09-26,875.0,975,9.134841269841267
2021-09-27,11692.0,11561,1.556919374247894
2021-09-28,3467.0,3462,2.670863309352518
2021-09-29,4328.0,4284,3.255575539568345
2021-09-30,3471.0,3534,-1.588009592326139
2021-10-01,5643.0,5607,3.333514492753623
2021-10-02,,1587,7.480792227204783
2021-10-03,1199.0,1263,9.175079365079364
2021-10-04,,8667,1.4950060168471722
2021-10-05,2661.0,2648,3.171942446043165
2021-10-06,,3817,3.6052757793764982
2021-10-07,4047.0,4020,5.290287769784173
2021-10-08,4213.0,4200,3.669867149758454
2021-10-09,1416.0,1478,8.673916292974587
2021-10-10,1358.0,1369,4.466666666666666
2021-10-11,1116.0,1214,-29.258393719806765
2021-10-12,8184.0,8044,2.041247002398081
2021-10-13,2701.0,2650,1.5468225419664268
2021-10-14,3216.0,3230,2.051258992805755
2021-10-15,2761.0,2752,1.6230072463768117
2021-10-16,1995.0,2044,2.746800595238096
2021-10-17,1043.0,1107,6.155924170616114
2021-10-18,6094.0,6017,0.2249400479616306
2021-10-19,2179.0,2172,0.969484412470024
2021-10-20,2758.0,2730,2.3911870503597124
2021-10-21,2888.0,2898,1.511031175059952
2021-10-22,2609.0,2608,0.2082125603864733
2021-10-23,973.0,1001,4.270495495495496
2021-10-24,805.0,851,5.428515007898893
2021-10-25,4938.0,4887,-1.2936823104693145
2021-10-26,1816.0,1806,-0.3699040767386092
2021-10-27,2563.0,2549,2.185431654676259
2021-10-28,2660.0,2653,2.9790767386091126
2021-10-29,2567.0,2565,2.13230303030303
2021-10-30,909.0,958,4.494319880418535
2021-10-31,887.0,938,3.463349131121643
2021-11-01,4500.0,4432,-0.6155836341756918
2021-11-02,1920.0,1915,-0.5291966426858513
2021-11-03,2299.0,2283,-0.6176258992805755
2021-11-04,,2626,0.7429856115107915
2021-11-05,2517.0,2526,-0.5037104622871046
2021-11-06,,1092,2.305455904334828
2021-11-07,,991,5.249374021909233
2021-11-08,5420.0,5300,-0.5091127098321343
2021-11-09,,2324,-0.6306859205776175
2021-11-10,2746.0,2724,0.7869904076738607
2021-11-11,,1223,-15.400119904076735
2021-11-12,,4186,-5.707821901323706
2021-11-13,1021.0,1079,-1.5385650224215248
2021-11-14,977.0,1040,-1.2281990521327013
2021-11-15,4986.0,4854,-2.5286401925391093
2021-11-16,1807.0,1812,-2.005595667870036
2021-11-17,2626.0,2622,-2.517146282973621
2021-11-18,2765.0,2746,-1.451378896882494
2021-11-19,2846.0,2908,-1.0144848484848483
2021-11-20,1281.0,1364,1.7443198804185351
2021-11-21,1059.0,1138,-0.0186413902053712
2021-11-22,5179.0,5028,-2.2264988009592326
2021-11-23,2208.0,2230,-1.9949040767386088
2021-11-24,2751.0,2711,-1.3339328537170263
2021-11-25,4229.0,4215,-0.3885491606714629
